"Hecho Punible","Dpto","Denunciado","Aclarado"
"ABIGEATO","Asuncion","0","0"
"COACCION SEXUAL","Asuncion","20","13"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Asuncion","13","13"
"HOMICIDIO DOLOSO ","Asuncion","15","7"
"HURTO","Asuncion","101","57"
"HURTO AGRAVADO","Asuncion","78","29"
"LESION CULPOSA EN ACC. DE TTO.","Asuncion","80","79"
"LESION     ","Asuncion","83","54"
"ROBO DE OBJETOS ","Asuncion","49","32"
"ROBO AGRAVADO DE OBJETOS","Asuncion","50","13"
"ROBO DE VEHICULOS","Asuncion","117","2"
"ROBO AGRAVADO DE VEHICULOS","Asuncion","0","0"
"ROBO DE MOTOCICLETAS","Asuncion","290","18"
"ROBO AGRAVADO DE MOTOCICLETAS","Asuncion","2","1"
"ABIGEATO","Central","19","1"
"COACCION SEXUAL","Central","81","63"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Central","77","69"
"HOMICIDIO DOLOSO ","Central","26","17"
"HURTO","Central","245","135"
"HURTO AGRAVADO","Central","188","70"
"LESION CULPOSA EN ACC. DE TTO.","Central","285","273"
"LESION     ","Central","211","94"
"ROBO DE OBJETOS ","Central","86","48"
"ROBO AGRAVADO DE OBJETOS","Central","263","53"
"ROBO DE VEHICULOS","Central","125","2"
"ROBO AGRAVADO DE VEHICULOS","Central","10","0"
"ROBO DE MOTOCICLETAS","Central","474","23"
"ROBO AGRAVADO DE MOTOCICLETAS","Central","77","8"
"ABIGEATO","Cordillera","44","5"
"COACCION SEXUAL","Cordillera","19","8"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Cordillera","12","10"
"HOMICIDIO DOLOSO ","Cordillera","1","0"
"HURTO","Cordillera","42","12"
"HURTO AGRAVADO","Cordillera","34","7"
"LESION CULPOSA EN ACC. DE TTO.","Cordillera","81","74"
"LESION     ","Cordillera","23","15"
"ROBO DE OBJETOS ","Cordillera","8","3"
"ROBO AGRAVADO DE OBJETOS","Cordillera","15","1"
"ROBO DE VEHICULOS","Cordillera","2","0"
"ROBO AGRAVADO DE VEHICULOS","Cordillera","2","0"
"ROBO DE MOTOCICLETAS","Cordillera","44","7"
"ROBO AGRAVADO DE MOTOCICLETAS","Cordillera","5","3"
"ABIGEATO","Amambay","5","2"
"COACCION SEXUAL","Amambay","12","7"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Amambay","14","12"
"HOMICIDIO DOLOSO ","Amambay","47","8"
"HURTO","Amambay","15","7"
"HURTO AGRAVADO","Amambay","16","5"
"LESION CULPOSA EN ACC. DE TTO.","Amambay","47","40"
"LESION     ","Amambay","62","19"
"ROBO DE OBJETOS ","Amambay","6","1"
"ROBO AGRAVADO DE OBJETOS","Amambay","20","3"
"ROBO DE VEHICULOS","Amambay","1","0"
"ROBO AGRAVADO DE VEHICULOS","Amambay","1","0"
"ROBO DE MOTOCICLETAS","Amambay","11","4"
"ROBO AGRAVADO DE MOTOCICLETAS","Amambay","9","3"
"ABIGEATO","Concepcion","8","4"
"COACCION SEXUAL","Concepcion","8","6"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Concepcion","18","17"
"HOMICIDIO DOLOSO ","Concepcion","17","8"
"HURTO","Concepcion","9","4"
"HURTO AGRAVADO","Concepcion","18","4"
"LESION CULPOSA EN ACC. DE TTO.","Concepcion","42","37"
"LESION     ","Concepcion","39","22"
"ROBO DE OBJETOS ","Concepcion","13","1"
"ROBO AGRAVADO DE OBJETOS","Concepcion","25","3"
"ROBO DE VEHICULOS","Concepcion","1","0"
"ROBO AGRAVADO DE VEHICULOS","Concepcion","0","0"
"ROBO DE MOTOCICLETAS","Concepcion","34","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Concepcion","36","2"
"ABIGEATO","Alto Paraguay","4","0"
"COACCION SEXUAL","Alto Paraguay","0","0"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Alto Paraguay","1","1"
"HOMICIDIO DOLOSO ","Alto Paraguay","5","1"
"HURTO","Alto Paraguay","2","0"
"HURTO AGRAVADO","Alto Paraguay","0","0"
"LESION CULPOSA EN ACC. DE TTO.","Alto Paraguay","0","0"
"LESION     ","Alto Paraguay","6","2"
"ROBO DE OBJETOS ","Alto Paraguay","0","0"
"ROBO AGRAVADO DE OBJETOS","Alto Paraguay","0","0"
"ROBO DE VEHICULOS","Alto Paraguay","0","0"
"ROBO AGRAVADO DE VEHICULOS","Alto Paraguay","0","0"
"ROBO DE MOTOCICLETAS","Alto Paraguay","4","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Alto Paraguay","0","0"
"ABIGEATO","San Pedro","33","7"
"COACCION SEXUAL","San Pedro","12","6"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","San Pedro","43","39"
"HOMICIDIO DOLOSO ","San Pedro","7","3"
"HURTO","San Pedro","12","8"
"HURTO AGRAVADO","San Pedro","17","6"
"LESION CULPOSA EN ACC. DE TTO.","San Pedro","65","61"
"LESION     ","San Pedro","33","10"
"ROBO DE OBJETOS ","San Pedro","2","2"
"ROBO AGRAVADO DE OBJETOS","San Pedro","30","3"
"ROBO DE VEHICULOS","San Pedro","3","1"
"ROBO AGRAVADO DE VEHICULOS","San Pedro","2","0"
"ROBO DE MOTOCICLETAS","San Pedro","9","3"
"ROBO AGRAVADO DE MOTOCICLETAS","San Pedro","9","3"
"ABIGEATO","Caaguazu","30","5"
"COACCION SEXUAL","Caaguazu","12","4"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Caaguazu","36","34"
"HOMICIDIO DOLOSO ","Caaguazu","4","2"
"HURTO","Caaguazu","34","15"
"HURTO AGRAVADO","Caaguazu","31","5"
"LESION CULPOSA EN ACC. DE TTO.","Caaguazu","148","133"
"LESION     ","Caaguazu","47","26"
"ROBO DE OBJETOS ","Caaguazu","3","2"
"ROBO AGRAVADO DE OBJETOS","Caaguazu","32","1"
"ROBO DE VEHICULOS","Caaguazu","3","0"
"ROBO AGRAVADO DE VEHICULOS","Caaguazu","5","1"
"ROBO DE MOTOCICLETAS","Caaguazu","30","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Caaguazu","5","1"
"ABIGEATO","Caazapa","30","5"
"COACCION SEXUAL","Caazapa","8","4"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Caazapa","8","7"
"HOMICIDIO DOLOSO ","Caazapa","8","2"
"HURTO","Caazapa","7","1"
"HURTO AGRAVADO","Caazapa","17","1"
"LESION CULPOSA EN ACC. DE TTO.","Caazapa","24","23"
"LESION     ","Caazapa","12","5"
"ROBO DE OBJETOS ","Caazapa","0","0"
"ROBO AGRAVADO DE OBJETOS","Caazapa","20","0"
"ROBO DE VEHICULOS","Caazapa","1","0"
"ROBO AGRAVADO DE VEHICULOS","Caazapa","2","0"
"ROBO DE MOTOCICLETAS","Caazapa","14","2"
"ROBO AGRAVADO DE MOTOCICLETAS","Caazapa","6","1"
"ABIGEATO","Guaira","26","6"
"COACCION SEXUAL","Guaira","6","3"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Guaira","12","10"
"HOMICIDIO DOLOSO ","Guaira","9","2"
"HURTO","Guaira","20","13"
"HURTO AGRAVADO","Guaira","15","8"
"LESION CULPOSA EN ACC. DE TTO.","Guaira","36","30"
"LESION     ","Guaira","10","6"
"ROBO DE OBJETOS ","Guaira","0","0"
"ROBO AGRAVADO DE OBJETOS","Guaira","12","0"
"ROBO DE VEHICULOS","Guaira","3","0"
"ROBO AGRAVADO DE VEHICULOS","Guaira","1","0"
"ROBO DE MOTOCICLETAS","Guaira","34","10"
"ROBO AGRAVADO DE MOTOCICLETAS","Guaira","3","2"
"ABIGEATO","Alto Parana","12","3"
"COACCION SEXUAL","Alto Parana","45","24"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Alto Parana","28","23"
"HOMICIDIO DOLOSO ","Alto Parana","32","11"
"HURTO","Alto Parana","77","37"
"HURTO AGRAVADO","Alto Parana","53","15"
"LESION CULPOSA EN ACC. DE TTO.","Alto Parana","112","101"
"LESION     ","Alto Parana","70","25"
"ROBO DE OBJETOS ","Alto Parana","36","6"
"ROBO AGRAVADO DE OBJETOS","Alto Parana","99","16"
"ROBO DE VEHICULOS","Alto Parana","10","1"
"ROBO AGRAVADO DE VEHICULOS","Alto Parana","12","3"
"ROBO DE MOTOCICLETAS","Alto Parana","46","8"
"ROBO AGRAVADO DE MOTOCICLETAS","Alto Parana","15","2"
"ABIGEATO","Itapua","31","5"
"COACCION SEXUAL","Itapua","26","10"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Itapua","20","20"
"HOMICIDIO DOLOSO ","Itapua","14","8"
"HURTO","Itapua","76","32"
"HURTO AGRAVADO","Itapua","33","10"
"LESION CULPOSA EN ACC. DE TTO.","Itapua","78","71"
"LESION     ","Itapua","42","21"
"ROBO DE OBJETOS ","Itapua","10","3"
"ROBO AGRAVADO DE OBJETOS","Itapua","37","8"
"ROBO DE VEHICULOS","Itapua","6","3"
"ROBO AGRAVADO DE VEHICULOS","Itapua","3","1"
"ROBO DE MOTOCICLETAS","Itapua","62","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Itapua","7","3"
"ABIGEATO","Canindeyu","1","0"
"COACCION SEXUAL","Canindeyu","5","3"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Canindeyu","8","7"
"HOMICIDIO DOLOSO ","Canindeyu","5","1"
"HURTO","Canindeyu","8","4"
"HURTO AGRAVADO","Canindeyu","6","2"
"LESION CULPOSA EN ACC. DE TTO.","Canindeyu","8","8"
"LESION     ","Canindeyu","13","3"
"ROBO DE OBJETOS ","Canindeyu","1","0"
"ROBO AGRAVADO DE OBJETOS","Canindeyu","15","1"
"ROBO DE VEHICULOS","Canindeyu","1","0"
"ROBO AGRAVADO DE VEHICULOS","Canindeyu","2","1"
"ROBO DE MOTOCICLETAS","Canindeyu","4","0"
"ROBO AGRAVADO DE MOTOCICLETAS","Canindeyu","2","0"
"ABIGEATO","Misiones","6","1"
"COACCION SEXUAL","Misiones","2","1"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Misiones","10","8"
"HOMICIDIO DOLOSO ","Misiones","2","0"
"HURTO","Misiones","9","4"
"HURTO AGRAVADO","Misiones","10","8"
"LESION CULPOSA EN ACC. DE TTO.","Misiones","29","29"
"LESION     ","Misiones","9","5"
"ROBO DE OBJETOS ","Misiones","1","1"
"ROBO AGRAVADO DE OBJETOS","Misiones","0","0"
"ROBO DE VEHICULOS","Misiones","0","0"
"ROBO AGRAVADO DE VEHICULOS","Misiones","0","0"
"ROBO DE MOTOCICLETAS","Misiones","2","0"
"ROBO AGRAVADO DE MOTOCICLETAS","Misiones","0","0"
"ABIGEATO","Paraguari","61","26"
"COACCION SEXUAL","Paraguari","11","2"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Paraguari","19","18"
"HOMICIDIO DOLOSO ","Paraguari","1","1"
"HURTO","Paraguari","18","6"
"HURTO AGRAVADO","Paraguari","29","3"
"LESION CULPOSA EN ACC. DE TTO.","Paraguari","98","93"
"LESION     ","Paraguari","18","6"
"ROBO DE OBJETOS ","Paraguari","5","3"
"ROBO AGRAVADO DE OBJETOS","Paraguari","13","3"
"ROBO DE VEHICULOS","Paraguari","3","0"
"ROBO AGRAVADO DE VEHICULOS","Paraguari","2","1"
"ROBO DE MOTOCICLETAS","Paraguari","27","5"
"ROBO AGRAVADO DE MOTOCICLETAS","Paraguari","3","1"
"ABIGEATO","Ñeembucu","35","10"
"COACCION SEXUAL","Ñeembucu","7","4"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Ñeembucu","2","2"
"HOMICIDIO DOLOSO ","Ñeembucu","1","0"
"HURTO","Ñeembucu","17","3"
"HURTO AGRAVADO","Ñeembucu","9","1"
"LESION CULPOSA EN ACC. DE TTO.","Ñeembucu","35","34"
"LESION     ","Ñeembucu","9","5"
"ROBO DE OBJETOS ","Ñeembucu","1","0"
"ROBO AGRAVADO DE OBJETOS","Ñeembucu","0","0"
"ROBO DE VEHICULOS","Ñeembucu","0","0"
"ROBO AGRAVADO DE VEHICULOS","Ñeembucu","0","0"
"ROBO DE MOTOCICLETAS","Ñeembucu","13","3"
"ROBO AGRAVADO DE MOTOCICLETAS","Ñeembucu","0","0"
"ABIGEATO","Boqueron","0","0"
"COACCION SEXUAL","Boqueron","3","3"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Boqueron","4","3"
"HOMICIDIO DOLOSO ","Boqueron","0","0"
"HURTO","Boqueron","2","1"
"HURTO AGRAVADO","Boqueron","3","2"
"LESION CULPOSA EN ACC. DE TTO.","Boqueron","6","6"
"LESION     ","Boqueron","11","7"
"ROBO DE OBJETOS ","Boqueron","0","0"
"ROBO AGRAVADO DE OBJETOS","Boqueron","1","1"
"ROBO DE VEHICULOS","Boqueron","1","0"
"ROBO AGRAVADO DE VEHICULOS","Boqueron","0","0"
"ROBO DE MOTOCICLETAS","Boqueron","3","1"
"ROBO AGRAVADO DE MOTOCICLETAS","Boqueron","0","0"
"ABIGEATO","Presidente Hayes","3","2"
"COACCION SEXUAL","Presidente Hayes","3","2"
"HOMICIDIO CULPOSO  EN ACC DE TTO. ","Presidente Hayes","9","9"
"HOMICIDIO DOLOSO ","Presidente Hayes","4","4"
"HURTO","Presidente Hayes","11","5"
"HURTO AGRAVADO","Presidente Hayes","2","0"
"LESION CULPOSA EN ACC. DE TTO.","Presidente Hayes","13","13"
"LESION     ","Presidente Hayes","11","9"
"ROBO DE OBJETOS ","Presidente Hayes","2","1"
"ROBO AGRAVADO DE OBJETOS","Presidente Hayes","7","4"
"ROBO DE VEHICULOS","Presidente Hayes","1","0"
"ROBO AGRAVADO DE VEHICULOS","Presidente Hayes","0","0"
"ROBO DE MOTOCICLETAS","Presidente Hayes","22","7"
"ROBO AGRAVADO DE MOTOCICLETAS","Presidente Hayes","1","0"
